row,column,ha_id_number,plot,ranch,bdffp_reserve_no,habitat
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
A,10,1,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
C,7,2,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,3,3,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
B,2,4,2107,DIM,2107,1-ha
A,10,5,2107,DIM,2107,1-ha
A,10,5,2107,DIM,2107,1-ha
A,10,5,2107,DIM,2107,1-ha
A,10,5,2107,DIM,2107,1-ha
A,10,5,2107,DIM,2107,1-ha
A,10,5,2107,DIM,2107,1-ha
A,10,5,2107,DIM,2107,1-ha
A,5,6,2107,DIM,2107,1-ha
A,5,6,2107,DIM,2107,1-ha
A,5,6,2107,DIM,2107,1-ha
A,5,6,2107,DIM,2107,1-ha
A,5,6,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,8,7,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
B,6,8,2107,DIM,2107,1-ha
